# Simulation 4 (Up to date)
# 464 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.876,237.518,45.925,-16.246,46.114,16.26,17.098,0.001,17.098,0.004,4.169,0.679,45,2.177e-4,9.805,0.105,-2.16e-4,-5.104,0.04,60.459,12.3,9.486e-4,9.82e-6,31.909,23.959,3.18,0.137,1.309e6,0,0.391,0.619,0.619,0.433,0.064,0.122,0.022,0.07,-9.653e-5,0,0,0,0,-2.894e-4,2.5,4.909,81.962,-3.684e-4,2.237,13.456,985.393,339.453,0.05,0.203
3.926,239.795,45.118,-15.998,45.307,16.02,17.306,0.001,17.306,0.004,4.138,0.84,45,2.204e-4,9.805,0.02,-1.542e-4,0.171,0.002,60.459,12.3,9.486e-4,9.82e-6,31.935,23.959,3.19,0.134,1.287e6,0,0.378,0.619,0.619,0.433,0.064,0.122,0.004,0.014,-6.629e-5,0,0,0,0,3.344e-7,2.5,4.909,81.848,0.001,2.276,13.441,985.126,339.444,0.05,0.204
3.976,242.031,44.324,-15.774,44.513,15.798,17.512,0.001,17.512,0.004,4.091,0.871,45,2.23e-4,9.805,0.005,-1.6e-4,2.508,0.083,60.459,12.3,9.486e-4,9.82e-6,31.94,23.959,3.192,0.132,1.264e6,0,0.365,0.619,0.619,0.433,0.064,0.122,9.949e-4,0.003,-4.545e-4,0,0,0,0,7.49e-5,2.5,4.909,81.814,0.002,2.312,13.427,984.864,339.436,0.05,0.205
4.026,244.227,43.541,-15.571,43.729,15.591,17.715,0.001,17.715,0.004,4.048,0.792,45,2.256e-4,9.805,0.023,-1.53e-4,-1.36,-0.011,60.459,12.3,9.486e-4,9.82e-6,31.934,23.959,3.19,0.13,1.242e6,0,0.352,0.619,0.619,0.433,0.064,0.122,0.005,0.015,1.562e-4,0,0,0,0,-2.281e-5,2.5,4.909,81.735,0.001,2.255,13.413,984.606,339.427,0.05,0.206
4.076,246.385,42.767,-15.353,42.955,15.378,17.917,0.001,17.917,0.004,4.01,0.865,45,2.282e-4,9.805,0.029,-1.546e-4,0.371,0.002,60.459,12.3,9.486e-4,9.82e-6,31.932,23.959,3.189,0.127,1.22e6,0,0.339,0.619,0.619,0.433,0.064,0.122,0.006,0.019,-3.585e-4,0,0,0,0,1.759e-6,2.5,4.909,81.687,0.002,2.253,13.398,984.353,339.418,0.05,0.206
4.126,248.504,42.005,-15.167,42.192,15.186,18.116,0.001,18.116,0.004,3.966,0.765,45,2.307e-4,9.805,0.015,-1.713e-4,-2.48,0.006,60.459,12.3,9.486e-4,9.82e-6,31.936,23.959,3.191,0.125,1.198e6,0,0.327,0.619,0.619,0.433,0.064,0.122,0.003,0.01,-3.266e-4,0,0,0,0,-8.151e-5,2.5,4.909,81.617,0.003,2.226,13.385,984.105,339.41,0.05,0.207
4.176,250.585,41.251,-15.004,41.438,15.013,18.313,0.001,18.313,0.004,3.933,0.527,45,2.332e-4,9.805,0.137,-1.609e-4,-0.343,-0.003,60.459,12.3,9.486e-4,9.82e-6,31.898,23.959,3.175,0.123,1.176e6,0,0.316,0.618,0.618,0.433,0.064,0.122,0.029,0.091,1.518e-4,0,0,0,0,-1.616e-6,2.5,4.909,81.545,0.002,2.087,13.371,983.861,339.402,0.05,0.208
4.226,252.629,40.505,-14.793,40.693,14.807,18.51,0.001,18.51,0.004,3.909,0.656,45,2.357e-4,9.805,0.044,-1.652e-4,3.846,-0.042,60.459,12.3,9.486e-4,9.82e-6,31.927,23.959,3.187,0.121,1.155e6,0,0.304,0.618,0.618,0.433,0.064,0.122,0.009,0.029,3.418e-4,0,0,0,0,2.109e-4,2.5,4.909,81.643,-2.207e-4,1.992,13.358,983.621,339.394,0.05,0.208
4.276,254.636,39.771,-14.563,39.959,14.597,18.704,0.001,18.704,0.004,3.868,0.993,45,2.382e-4,9.805,0.185,-1.641e-4,-1.805,0.004,60.459,12.3,9.486e-4,9.82e-6,31.882,23.959,3.169,0.118,1.134e6,0,0.293,0.618,0.618,0.433,0.064,0.122,0.039,0.122,-4.183e-4,0,0,0,0,-4.816e-5,2.5,4.909,81.814,-0.004,2.003,13.345,983.385,339.386,0.05,0.209
4.316,256.209,39.194,-14.43,39.38,14.46,18.857,0.001,18.857,0.004,3.824,0.925,45,2.401e-4,9.805,0.16,-1.591e-4,2.796,-0.006,60.459,12.3,9.486e-4,9.82e-6,31.89,23.959,3.172,0.117,1.117e6,0,0.285,0.618,0.618,0.433,0.064,0.122,0.033,0.106,-3.274e-4,0,0,0,0,1.189e-4,2.5,4.909,81.801,-0.004,1.947,13.335,983.201,339.38,0.04,0.21
4.365,258.103,38.493,-14.29,38.679,14.308,19.043,0.001,19.043,0.004,3.791,0.708,45,2.425e-4,9.805,0.034,-1.475e-4,1.624,0.014,60.459,12.3,9.486e-4,9.82e-6,31.929,23.959,3.188,0.115,1.097e6,0,0.274,0.618,0.618,0.433,0.064,0.122,0.007,0.023,3.154e-4,0,0,0,0,4.165e-5,2.5,4.909,81.651,-7.911e-4,1.859,13.322,982.979,339.372,0.049,0.211
4.415,260.01,37.784,-14.098,37.969,14.128,19.231,0.001,19.231,0.003,3.749,0.927,45,2.449e-4,9.805,0.187,-1.26e-4,5.836,-0.036,60.459,12.3,9.486e-4,9.82e-6,31.881,23.959,3.169,0.113,1.078e6,0,0.265,0.618,0.618,0.433,0.063,0.122,0.039,0.123,2.062e-4,0,0,0,0,5.568e-4,2.5,4.909,81.451,0.004,2.076,13.31,982.755,339.365,0.05,0.211
4.459,261.651,37.17,-13.969,37.354,13.995,19.395,0.001,19.395,0.003,3.706,0.862,45,2.47e-4,9.805,0.145,-1.344e-4,9.716,-0.045,60.459,12.3,9.486e-4,9.82e-6,31.894,23.959,3.174,0.111,1.061e6,0,0.257,0.618,0.618,0.433,0.063,0.122,0.03,0.094,-3.442e-4,0,0,0,0,0.002,2.5,4.909,81.11,0.007,2.213,13.299,982.563,339.358,0.044,0.212
4.509,263.492,36.473,-13.898,36.658,13.902,19.579,0.001,19.579,0.003,3.679,0.309,45,2.493e-4,9.805,0.259,-2.148e-4,-7.418,-0.011,60.459,12.3,9.486e-4,9.82e-6,31.858,23.959,3.16,0.109,1.041e6,0,0.247,0.618,0.618,0.433,0.063,0.122,0.054,0.172,-1.562e-4,0,0,0,0,-9.636e-4,2.5,4.909,80.63,0.004,2.144,13.287,982.347,339.351,0.05,0.213
4.542,264.699,36.01,-13.841,36.197,13.841,19.702,0.001,19.702,0.003,3.674,0.047,45,2.509e-4,9.805,0.459,-1.678e-4,-2.897,-0.017,60.459,12.3,9.486e-4,9.82e-6,31.797,23.959,3.135,0.107,1.028e6,0,0.241,0.618,0.618,0.433,0.063,0.122,0.097,0.303,7.282e-5,0,0,0,0,-1.507e-4,2.5,4.909,80.444,0.002,2.084,13.279,982.205,339.346,0.033,0.215
4.564,265.485,35.708,-13.768,35.896,13.768,19.782,0.001,19.782,0.003,3.674,0.08,45,2.519e-4,9.805,0.435,-1.683e-4,1.111,-0.02,60.459,12.3,9.486e-4,9.82e-6,31.804,23.959,3.138,0.107,1.019e6,0,0.237,0.618,0.618,0.433,0.063,0.121,0.091,0.287,-3.645e-4,0,0,0,0,2.253e-5,2.5,4.909,80.427,-4.188e-4,2.07,13.274,982.113,339.343,0.022,0.216
4.588,266.339,35.378,-13.664,35.568,13.666,19.87,0.001,19.87,0.003,3.67,0.26,45,2.53e-4,9.805,0.292,-1.638e-4,4.425,-0.025,60.459,12.3,9.486e-4,9.82e-6,31.848,23.959,3.156,0.106,1.01e6,0,0.233,0.618,0.618,0.433,0.063,0.121,0.061,0.192,1.569e-4,0,0,0,0,3.642e-4,2.5,4.909,80.497,-0.003,2.068,13.269,982.013,339.34,0.024,0.217
4.624,267.606,34.889,-13.493,35.08,13.509,20.002,0.001,20.002,0.003,3.653,0.649,45,2.547e-4,9.805,0.035,-1.705e-4,-6.059,-0.177,60.459,12.3,9.486e-4,9.82e-6,31.928,23.959,3.187,0.104,9.961e5,0,0.226,0.618,0.618,0.433,0.063,0.121,0.007,0.024,-4.737e-4,0,0,0,0,-7.014e-4,2.5,4.909,80.704,-0.005,2.086,13.261,981.864,339.335,0.036,0.217
4.674,269.333,34.22,-13.287,34.409,13.33,20.184,0.001,20.184,0.003,3.608,1.063,45,2.57e-4,9.805,0.406,-2.083e-4,-1.373,-0.004,60.459,12.3,9.486e-4,9.82e-6,31.813,23.959,3.141,0.102,9.774e5,0,0.218,0.618,0.618,0.433,0.063,0.121,0.085,0.268,-2.186e-4,0,0,0,0,-3.739e-5,2.5,4.909,80.925,-0.005,2.133,13.249,981.662,339.328,0.05,0.218
4.7,270.199,33.883,-13.2,34.072,13.253,20.275,0.001,20.275,0.003,3.578,1.18,45,2.582e-4,9.805,0.521,-1.777e-4,2.783,-0.012,60.459,12.3,9.486e-4,9.82e-6,31.778,23.959,3.127,0.101,9.68e5,0,0.214,0.618,0.618,0.433,0.063,0.121,0.11,0.343,-4.417e-4,0,0,0,0,1.566e-4,2.5,4.909,80.909,-0.002,2.162,13.244,981.56,339.325,0.025,0.219
4.722,270.947,33.591,-13.164,33.779,13.202,20.354,0.001,20.354,0.003,3.554,1,45,2.592e-4,9.805,0.382,-1.657e-4,6.273,-0.011,60.459,12.3,9.486e-4,9.82e-6,31.82,23.959,3.144,0.1,9.594e5,0,0.21,0.618,0.618,0.433,0.063,0.121,0.08,0.251,-2.94e-5,0,0,0,0,8.099e-4,2.5,4.909,80.805,-2.72e-4,2.113,13.239,981.473,339.322,0.022,0.22
4.753,271.984,33.182,-13.127,33.369,13.144,20.464,0.001,20.464,0.003,3.528,0.685,45,2.606e-4,9.805,0.115,-1.774e-4,8.684,-0.036,60.459,12.3,9.486e-4,9.82e-6,31.902,23.959,3.177,0.099,9.476e5,0,0.205,0.618,0.618,0.433,0.063,0.121,0.024,0.075,3.043e-5,0,0,0,0,0.002,2.5,4.909,80.562,0.003,2.053,13.232,981.351,339.318,0.031,0.22
4.799,273.517,32.572,-13.037,32.76,13.047,20.628,0.001,20.628,0.003,3.501,0.495,45,2.627e-4,9.805,0.059,-1.888e-4,-8.928,-0.109,60.459,12.3,9.486e-4,9.82e-6,31.919,23.959,3.184,0.097,9.308e5,0,0.198,0.617,0.618,0.433,0.063,0.121,0.012,0.041,-2.445e-5,0,0,0,0,-0.002,2.5,4.909,80.133,0.006,2.124,13.222,981.171,339.312,0.047,0.221
4.849,275.13,31.922,-12.955,32.112,12.958,20.803,0.001,20.803,0.003,3.485,0.239,45,2.649e-4,9.805,0.304,-2.096e-4,-5.648,-0.013,60.459,12.3,9.486e-4,9.82e-6,31.843,23.959,3.154,0.096,9.124e5,0,0.19,0.617,0.618,0.433,0.063,0.121,0.064,0.201,1.149e-4,0,0,0,0,-7.256e-4,2.5,4.909,79.748,0.006,2.099,13.212,980.982,339.305,0.05,0.222
4.889,276.377,31.414,-12.861,31.606,12.863,20.94,0.001,20.94,0.003,3.477,0.219,45,2.667e-4,9.805,0.325,-1.817e-4,-1.779,-0.015,60.459,12.3,9.486e-4,9.82e-6,31.837,23.959,3.151,0.094,8.982e5,0,0.184,0.617,0.618,0.433,0.063,0.121,0.068,0.214,5.664e-5,0,0,0,0,-7.426e-5,2.5,4.909,79.605,0.004,2.099,13.204,980.836,339.3,0.039,0.222
4.93,277.645,30.892,-12.753,31.086,12.755,21.081,0.001,21.081,0.003,3.467,0.254,45,2.685e-4,9.805,0.283,-1.784e-4,1.731,-0.019,60.459,12.3,9.486e-4,9.82e-6,31.85,23.959,3.156,0.092,8.833e5,0,0.178,0.617,0.618,0.433,0.063,0.121,0.059,0.186,4.311e-4,0,0,0,0,7.268e-5,2.5,4.909,79.614,6.263e-4,2.037,13.195,980.687,339.295,0.041,0.223
4.979,279.149,30.269,-12.585,30.465,12.596,21.251,0.001,21.251,0.003,3.45,0.523,45,2.706e-4,9.805,0.023,-1.503e-4,-4.339,-0.182,60.459,12.3,9.486e-4,9.82e-6,31.93,23.959,3.188,0.091,8.657e5,0,0.171,0.617,0.617,0.433,0.063,0.121,0.005,0.016,4.732e-4,0,0,0,0,-4.754e-4,2.5,4.909,79.789,-0.003,2.017,13.186,980.511,339.289,0.049,0.224
5.029,280.646,29.645,-12.405,29.84,12.439,21.423,0.001,21.423,0.003,3.414,0.918,45,2.728e-4,9.805,0.484,-2.004e-4,-0.964,0.007,60.459,12.3,9.486e-4,9.82e-6,31.788,23.959,3.131,0.089,8.487e5,0,0.164,0.617,0.618,0.433,0.063,0.121,0.102,0.319,7.608e-5,0,0,0,0,-2.44e-5,2.5,4.909,79.946,-0.003,2.116,13.176,980.335,339.283,0.05,0.224
5.058,281.515,29.28,-12.322,29.475,12.364,21.523,0.001,21.523,0.003,3.383,1.025,45,2.741e-4,9.805,0.625,-1.813e-4,3.804,-0.012,60.459,12.3,9.486e-4,9.82e-6,31.745,23.959,3.114,0.088,8.386e5,0,0.161,0.617,0.618,0.433,0.063,0.121,0.132,0.412,1.804e-4,0,0,0,0,3.893e-4,2.5,4.909,79.905,-0.002,2.163,13.17,980.233,339.28,0.029,0.225
5.083,282.23,28.978,-12.29,29.173,12.321,21.606,0.001,21.606,0.003,3.36,0.878,45,2.751e-4,9.805,0.477,-1.852e-4,7.236,-0.014,60.459,12.3,9.486e-4,9.82e-6,31.79,23.959,3.132,0.087,8.299e5,0,0.157,0.617,0.618,0.433,0.063,0.121,0.1,0.313,-3.878e-4,0,0,0,0,0.001,2.5,4.909,79.767,1.776e-4,2.12,13.166,980.149,339.277,0.025,0.225
5.116,283.191,28.568,-12.258,28.762,12.274,21.718,0.001,21.718,0.003,3.335,0.63,45,2.766e-4,9.805,0.201,-1.812e-4,9.898,-0.029,60.459,12.3,9.486e-4,9.82e-6,31.874,23.959,3.166,0.086,8.181e5,0,0.153,0.617,0.617,0.433,0.063,0.121,0.042,0.13,-2.675e-4,0,0,0,0,0.003,2.5,4.909,79.471,0.003,2.075,13.159,980.036,339.273,0.033,0.226
5.166,284.604,27.957,-12.207,28.152,12.212,21.884,0.001,21.884,0.003,3.312,0.332,45,2.787e-4,9.805,0.164,-2.328e-4,-9.531,-0.022,60.459,12.3,9.486e-4,9.82e-6,31.886,23.959,3.171,0.084,8.009e5,0,0.146,0.617,0.617,0.433,0.063,0.121,0.034,0.111,-4.88e-4,0,0,0,0,-0.003,2.5,4.909,78.956,0.005,2.05,13.15,979.871,339.268,0.05,0.227
5.216,285.986,27.348,-12.138,27.546,12.139,22.049,0.001,22.049,0.003,3.301,0.174,45,2.808e-4,9.805,0.371,-2.075e-4,-6.56,-0.012,60.459,12.3,9.486e-4,9.82e-6,31.822,23.959,3.145,0.082,7.839e5,0,0.14,0.617,0.617,0.433,0.063,0.121,0.078,0.246,-1.058e-4,0,0,0,0,-0.001,2.5,4.909,78.541,0.005,2.052,13.141,979.709,339.262,0.05,0.227
5.262,287.22,26.796,-12.044,26.998,12.045,22.199,0.001,22.199,0.003,3.294,0.191,45,2.827e-4,9.805,0.35,-1.968e-4,-2.303,-0.008,60.459,12.3,9.486e-4,9.82e-6,31.828,23.959,3.147,0.081,7.686e5,0,0.135,0.617,0.617,0.433,0.063,0.121,0.073,0.231,-4.4e-4,0,0,0,0,-1.697e-4,2.5,4.909,78.344,0.003,2.059,13.133,979.564,339.258,0.046,0.228
5.312,288.545,26.198,-11.896,26.402,11.904,22.364,0.001,22.364,0.003,3.278,0.449,45,2.848e-4,9.805,0.021,-1.876e-4,0.798,0.017,60.459,12.3,9.486e-4,9.82e-6,31.93,23.959,3.188,0.079,7.526e5,0,0.129,0.617,0.617,0.433,0.063,0.121,0.004,0.014,4.579e-4,0,0,0,0,2.123e-5,2.5,4.909,78.291,5.571e-4,2.169,13.124,979.409,339.252,0.05,0.228
5.362,289.84,25.607,-11.761,25.812,11.779,22.527,0.001,22.527,0.003,3.249,0.657,45,2.869e-4,9.805,0.35,-1.815e-4,2.687,0.016,60.459,12.3,9.486e-4,9.82e-6,31.828,23.959,3.147,0.077,7.366e5,0,0.124,0.617,0.617,0.433,0.063,0.121,0.073,0.23,-2.887e-4,0,0,0,0,2.514e-4,2.5,4.909,78.224,-0.002,2.26,13.116,979.257,339.247,0.05,0.229
5.412,291.106,25.022,-11.651,25.227,11.675,22.689,0.001,22.689,0.003,3.213,0.761,45,2.889e-4,9.805,0.536,-1.784e-4,7.152,0.012,60.459,12.3,9.486e-4,9.82e-6,31.771,23.959,3.125,0.076,7.209e5,0,0.119,0.617,0.618,0.433,0.063,0.121,0.113,0.352,-2.312e-4,0,0,0,0,0.002,2.5,4.909,77.982,-0.003,2.366,13.108,979.108,339.242,0.05,0.23
5.45,292.054,24.577,-11.585,24.783,11.61,22.811,0.001,22.811,0.003,3.184,0.749,45,2.905e-4,9.805,0.54,-1.664e-4,11.163,0.01,60.459,12.3,9.486e-4,9.82e-6,31.77,23.959,3.124,0.074,7.09e5,0,0.115,0.617,0.618,0.433,0.063,0.121,0.114,0.351,-9.236e-5,0,0,0,0,0.005,2.5,4.909,77.626,-0.003,2.453,13.102,978.997,339.238,0.038,0.23
5.49,293.039,24.109,-11.55,24.315,11.565,22.939,0.001,22.939,0.003,3.157,0.578,45,2.921e-4,9.805,0.281,-1.833e-4,14.133,0.004,60.459,12.3,9.486e-4,9.82e-6,31.849,23.959,3.156,0.073,6.962e5,0,0.111,0.617,0.617,0.433,0.063,0.121,0.059,0.177,4.567e-4,0,0,0,0,0.008,2.5,4.909,77.104,-8.105e-4,2.486,13.095,978.881,339.235,0.04,0.231
5.54,294.23,23.532,-11.545,23.74,11.547,23.096,0.001,23.096,0.003,3.136,0.231,45,2.941e-4,9.805,0.312,-1.873e-4,-13.96,-0.002,60.459,12.3,9.486e-4,9.82e-6,31.839,23.959,3.152,0.071,6.798e5,0,0.106,0.617,0.617,0.433,0.063,0.121,0.065,0.214,3.5e-4,0,0,0,0,-0.008,2.5,4.909,76.374,0.003,2.424,13.088,978.742,339.23,0.05,0.232
5.59,295.392,22.954,-11.554,23.168,11.554,23.253,0.001,23.253,0.003,3.135,0.13,45,2.961e-4,9.805,0.966,-1.761e-4,-8.541,-0.004,60.459,12.3,9.486e-4,9.82e-6,31.642,23.959,3.073,0.07,6.628e5,0,0.101,0.617,0.619,0.433,0.063,0.121,0.206,0.637,-1.251e-4,0,0,0,0,-0.003,2.5,4.909,75.79,0.005,2.256,13.08,978.605,339.225,0.05,0.232
5.615,295.96,22.667,-11.527,22.884,11.528,23.331,0.001,23.331,0.003,3.139,0.177,45,2.971e-4,9.805,1.067,-1.821e-4,-4.205,-0.002,60.459,12.3,9.486e-4,9.82e-6,31.613,23.959,3.061,0.069,6.547e5,0,0.098,0.617,0.619,0.433,0.063,0.121,0.228,0.699,-2.713e-4,0,0,0,0,-7.784e-4,2.5,4.909,75.632,0.005,2.218,13.076,978.539,339.223,0.025,0.233
5.639,296.496,22.393,-11.472,22.613,11.473,23.406,0.001,23.406,0.003,3.143,0.115,45,2.981e-4,9.805,0.962,-1.816e-4,-0.474,-0.002,60.459,12.3,9.486e-4,9.82e-6,31.643,23.959,3.074,0.068,6.472e5,0,0.096,0.617,0.619,0.433,0.063,0.121,0.205,0.631,-2.541e-4,0,0,0,0,-1.011e-5,2.5,4.909,75.577,0.005,2.217,13.073,978.476,339.221,0.024,0.233
5.666,297.099,22.084,-11.391,22.306,11.391,23.491,0.001,23.491,0.003,3.144,0.028,45,2.992e-4,9.805,0.694,-1.805e-4,3.013,0.002,60.459,12.3,9.486e-4,9.82e-6,31.723,23.959,3.105,0.067,6.388e5,0,0.093,0.617,0.618,0.433,0.063,0.121,0.147,0.456,-8.968e-5,0,0,0,0,4.198e-4,2.5,4.909,75.615,0.005,2.236,13.069,978.405,339.219,0.027,0.234
5.705,297.942,21.647,-11.265,21.873,11.269,23.612,0.001,23.612,0.003,3.138,0.287,45,3.007e-4,9.805,0.161,-1.738e-4,5.378,0.01,60.459,12.3,9.486e-4,9.82e-6,31.885,23.959,3.17,0.066,6.272e5,0,0.09,0.617,0.617,0.433,0.063,0.121,0.034,0.105,-4.854e-4,0,0,0,0,0.001,2.5,4.909,75.789,0.004,2.283,13.063,978.306,339.215,0.039,0.235
5.755,299.01,21.087,-11.12,21.316,11.135,23.769,0.001,23.769,0.003,3.116,0.581,45,3.027e-4,9.805,0.511,-1.713e-4,-3.89,0.01,60.459,12.3,9.486e-4,9.82e-6,31.778,23.959,3.127,0.064,6.121e5,0,0.086,0.617,0.617,0.433,0.063,0.121,0.108,0.337,-4.186e-4,0,0,0,0,-7.618e-4,2.5,4.909,76.045,0.002,2.333,13.056,978.181,339.211,0.05,0.235
5.805,300.051,20.534,-11.021,20.764,11.043,23.924,0.001,23.924,0.003,3.083,0.695,45,3.047e-4,9.805,0.827,-1.81e-4,0.597,0.008,60.459,12.3,9.486e-4,9.82e-6,31.683,23.959,3.089,0.063,5.965e5,0,0.081,0.617,0.618,0.433,0.063,0.121,0.176,0.543,-9.189e-5,0,0,0,0,1.89e-5,2.5,4.909,76.135,-7.179e-4,2.305,13.05,978.059,339.207,0.05,0.236
5.841,300.794,20.132,-10.959,20.363,10.984,24.036,0.001,24.036,0.003,3.057,0.742,45,3.061e-4,9.805,0.985,-1.77e-4,4.961,0.01,60.459,12.3,9.486e-4,9.82e-6,31.636,23.959,3.071,0.061,5.855e5,0,0.079,0.617,0.619,0.433,0.063,0.12,0.21,0.644,3.498e-4,0,0,0,0,0.001,2.5,4.909,76.032,-0.002,2.321,13.045,977.972,339.204,0.037,0.236
5.874,301.439,19.779,-10.922,20.01,10.945,24.134,0.001,24.134,0.003,3.033,0.702,45,3.073e-4,9.805,0.94,-1.927e-4,8.881,0.009,60.459,12.3,9.486e-4,9.82e-6,31.649,23.959,3.076,0.06,5.757e5,0,0.076,0.617,0.619,0.433,0.063,0.12,0.2,0.612,2.027e-4,0,0,0,0,0.004,2.5,4.909,75.807,-0.002,2.316,13.041,977.896,339.202,0.032,0.237
5.909,302.129,19.395,-10.896,19.627,10.913,24.241,0.001,24.241,0.003,3.01,0.604,45,3.087e-4,9.805,0.749,-1.701e-4,12.407,0.014,60.459,12.3,9.486e-4,9.82e-6,31.706,23.959,3.099,0.059,5.65e5,0,0.073,0.617,0.618,0.433,0.063,0.12,0.159,0.483,-1.977e-4,0,0,0,0,0.009,2.5,4.909,75.427,-0.002,2.303,13.036,977.815,339.199,0.035,0.238
5.955,303.02,18.888,-10.875,19.122,10.884,24.38,0.001,24.38,0.003,2.986,0.435,45,3.105e-4,9.805,0.356,-1.801e-4,15.253,0.024,60.459,12.3,9.486e-4,9.82e-6,31.825,23.959,3.146,0.058,5.508e5,0,0.069,0.617,0.617,0.433,0.063,0.12,0.075,0.22,-3.019e-4,0,0,0,0,0.014,2.5,4.909,74.771,-0.002,2.28,13.03,977.711,339.195,0.047,0.238
6.005,303.951,18.344,-10.864,18.583,10.867,24.529,0.001,24.529,0.003,2.969,0.24,45,3.124e-4,9.805,0.168,-1.772e-4,-15.588,0.038,60.459,12.3,9.486e-4,9.82e-6,31.882,23.959,3.169,0.056,5.356e5,0,0.066,0.617,0.617,0.433,0.063,0.12,0.035,0.127,2.005e-5,0,0,0,0,-0.016,2.5,4.909,73.983,-4.497e-4,2.234,13.024,977.602,339.192,0.05,0.239
6.055,304.855,17.801,-10.851,18.046,10.851,24.677,0.001,24.677,0.003,2.961,0.081,45,3.143e-4,9.805,0.638,-1.549e-4,-13.513,0.004,60.459,12.3,9.486e-4,9.82e-6,31.739,23.959,3.112,0.055,5.204e5,0,0.062,0.617,0.618,0.433,0.063,0.12,0.135,0.432,-1.018e-4,0,0,0,0,-0.013,2.5,4.909,73.246,6.803e-4,2.179,13.018,977.496,339.188,0.05,0.24
6.105,305.731,17.258,-10.855,17.511,10.856,24.825,0.001,24.825,0.003,2.963,0.123,45,3.161e-4,9.805,1.282,-1.899e-4,-8.541,0.006,60.459,12.3,9.486e-4,9.82e-6,31.549,23.959,3.036,0.053,5.043e5,0,0.058,0.617,0.62,0.433,0.063,0.12,0.276,0.844,5.037e-5,0,0,0,0,-0.005,2.5,4.909,72.684,0.002,1.991,13.013,977.393,339.185,0.05,0.24
6.138,306.293,16.902,-10.814,17.16,10.815,24.923,0.001,24.923,0.003,2.967,0.112,45,3.174e-4,9.805,1.273,-1.805e-4,-4.668,0.004,60.459,12.3,9.486e-4,9.82e-6,31.552,23.959,3.037,0.052,4.945e5,0,0.056,0.617,0.62,0.433,0.063,0.12,0.274,0.834,-1.005e-4,0,0,0,0,-0.002,2.5,4.909,72.468,0.002,1.962,13.009,977.327,339.182,0.033,0.241
6.173,306.88,16.523,-10.736,16.788,10.736,25.027,0.001,25.027,0.003,2.97,0.009,45,3.187e-4,9.805,0.891,-1.816e-4,-1.141,0.004,60.459,12.3,9.486e-4,9.82e-6,31.663,23.959,3.082,0.051,4.846e5,0,0.054,0.617,0.619,0.433,0.063,0.12,0.19,0.585,-1.64e-4,0,0,0,0,-1.044e-4,2.5,4.909,72.37,0.003,2,13.005,977.258,339.18,0.035,0.242
6.223,307.693,15.99,-10.626,16.262,10.628,25.176,0.001,25.176,0.003,2.964,0.179,45,3.206e-4,9.805,0.277,-1.798e-4,0.752,0.005,60.459,12.3,9.486e-4,9.82e-6,31.848,23.959,3.156,0.049,4.705e5,0,0.051,0.617,0.617,0.433,0.064,0.12,0.058,0.183,4.859e-4,0,0,0,0,4.813e-5,2.5,4.909,72.378,0.004,2.035,13,977.163,339.177,0.05,0.242
6.273,308.479,15.461,-10.532,15.74,10.536,25.323,0.001,25.323,0.003,2.952,0.311,45,3.225e-4,9.805,0.288,-1.814e-4,-1.145,0.004,60.459,12.3,9.486e-4,9.82e-6,31.845,23.959,3.154,0.048,4.561e5,0,0.048,0.617,0.617,0.433,0.064,0.12,0.06,0.19,1.01e-4,0,0,0,0,-1.188e-4,2.5,4.909,72.439,0.004,2.029,12.995,977.071,339.174,0.05,0.243
6.323,309.239,14.936,-10.451,15.221,10.459,25.471,0.001,25.471,0.003,2.933,0.408,45,3.244e-4,9.805,0.766,-1.817e-4,1.198,4.602e-4,60.459,12.3,9.486e-4,9.82e-6,31.7,23.959,3.096,0.046,4.418e5,0,0.045,0.617,0.618,0.433,0.064,0.12,0.162,0.503,4.311e-4,0,0,0,0,1.384e-4,2.5,4.909,72.446,0.004,2.016,12.99,976.981,339.171,0.05,0.243
