# Spaceport America (Up to date)
# 1049 data points written for 34 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.204,20.391,0.205,20.469,2.926e-4,0,2.926e-4,0,0.018,1.784,33,-107,9.791,78.211,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.695,5.104,843.285,334.392,0.01,0.031
0.02,0.007,1.01,80.632,1.014,80.94,0.002,0,0.002,0,0.088,7.054,33,-107,9.791,55.18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.674,5.104,843.284,334.392,0.01,0.035
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.023,2.161,115.135,2.169,115.575,0.007,0,0.007,0,0.189,10.073,33,-107,9.791,35.447,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.653,5.104,843.283,334.392,0.01,0.037
0.04,0.05,3.281,112.054,3.294,112.482,0.014,0,0.014,0,0.287,9.803,33,-107,9.791,25.328,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.632,5.104,843.28,334.392,0.01,0.041
0.05,0.088,4.368,108.666,4.384,109.081,0.025,0,0.025,0,0.382,9.507,33,-107,9.791,19.538,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.612,5.103,843.276,334.392,0.01,0.044
0.06,0.137,5.438,107.124,5.459,107.533,0.039,0,0.039,0,0.476,9.372,33,-107,9.791,16.125,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.625,5.103,843.271,334.391,0.01,0.048
0.07,0.197,6.507,106.853,6.532,107.262,0.057,0,0.057,0,0.569,9.348,33,-107,9.791,13.748,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.639,5.103,843.265,334.391,0.01,0.051
0.08,0.268,7.572,106.583,7.601,106.99,0.077,0,0.077,0,0.662,9.325,33,-107,9.791,12.002,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.653,5.102,843.258,334.391,0.01,0.054
0.09,0.349,8.635,106.311,8.668,106.717,0.1,0,0.1,0,0.755,9.301,33,-107,9.791,10.668,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.667,5.102,843.25,334.39,0.01,0.057
0.1,0.44,9.695,106.039,9.732,106.444,0.126,0,0.126,0,0.848,9.277,33,-107,9.791,9.617,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.68,5.101,843.241,334.39,0.01,0.06
0.11,0.542,10.752,105.767,10.794,106.171,0.156,0,0.156,0,0.941,9.253,33,-107,9.791,8.647,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.67,5.1,843.23,334.39,0.01,0.063
0.12,0.655,11.809,105.726,11.855,106.13,0.188,0,0.188,0,1.033,9.25,33,-107,9.791,7.846,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.66,5.1,843.219,334.389,0.01,0.066
0.13,0.779,12.869,106.021,12.918,106.426,0.224,0,0.224,0,1.126,9.276,33,-107,9.791,7.171,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.65,5.099,843.206,334.389,0.01,0.068
0.14,0.913,13.932,106.319,13.985,106.725,0.262,0,0.262,0,1.219,9.302,33,-107,9.791,6.594,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.639,5.098,843.193,334.388,0.01,0.071
0.15,1.057,14.998,106.617,15.055,107.025,0.303,0,0.303,0,1.312,9.328,33,-107,9.791,6.096,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.629,5.097,843.178,334.388,0.01,0.073
0.16,1.213,16.067,106.916,16.128,107.324,0.348,0,0.348,0,1.406,9.354,33,-107,9.791,5.6,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.601,5.096,843.162,334.387,0.01,0.076
0.17,1.379,17.139,107.214,17.204,107.623,0.396,0,0.396,0,1.499,9.38,33,-107,9.791,5.164,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.573,5.095,843.146,334.386,0.01,0.078
0.18,1.555,18.214,107.512,18.283,107.923,0.446,0,0.446,0,1.593,9.406,33,-107,9.791,4.777,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.545,5.094,843.128,334.386,0.01,0.081
0.19,1.743,19.291,107.81,19.365,108.222,0.5,0,0.5,0,1.688,9.432,33,-107,9.791,4.433,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.517,5.093,843.109,334.385,0.01,0.083
0.2,1.941,20.372,108.108,20.45,108.521,0.557,0,0.557,0,1.782,9.458,33,-107,9.791,4.123,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.489,5.091,843.089,334.384,0.01,0.085
0.21,2.15,21.456,108.406,21.538,108.82,0.617,0,0.617,0,1.877,9.484,33,-107,9.791,3.957,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.505,5.09,843.067,334.383,0.01,0.088
0.22,2.37,22.543,108.704,22.629,109.119,0.68,0,0.68,0,1.972,9.51,33,-107,9.791,3.806,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.52,5.088,843.045,334.383,0.01,0.09
0.23,2.601,23.632,109.002,23.723,109.418,0.747,0,0.747,0,2.068,9.536,33,-107,9.791,3.669,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.536,5.087,843.022,334.382,0.01,0.093
0.24,2.843,24.725,109.3,24.819,109.717,0.816,0,0.816,0,2.163,9.562,33,-107,9.791,3.543,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.551,5.085,842.997,334.381,0.01,0.097
0.25,3.096,25.821,109.598,25.919,110.016,0.889,0,0.889,0,2.259,9.589,33,-107,9.791,3.428,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.567,5.084,842.972,334.38,0.01,0.101
0.26,3.36,26.919,109.895,27.022,110.315,0.964,0,0.964,0,2.355,9.615,33,-107,9.791,3.297,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.571,5.082,842.945,334.379,0.01,0.103
0.27,3.634,28.021,110.193,28.128,110.614,1.043,0,1.043,0,2.452,9.641,33,-107,9.791,3.177,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.575,5.08,842.917,334.378,0.01,0.105
# Event LAUNCHROD occurred at t=0.28 seconds
0.28,3.92,29.126,110.491,29.237,110.913,1.125,0,1.125,0,2.548,9.667,33,-107,9.791,3.065,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.579,5.078,842.888,334.376,0.01,0.108
0.295,4.369,30.787,110.822,30.906,111.303,1.254,7.62e-8,1.254,3.48e-6,2.703,10.347,33,-107,9.791,2.929,0,0.063,-2.673e-5,0.815,2.759e-4,0,0,0,0,5.427e-6,85,1.885e-6,1.585,5.076,842.843,334.375,0.015,0.11
0.318,5.09,33.292,111.403,33.421,111.886,1.463,4.905e-7,1.463,1.921e-5,2.937,10.382,33,-107,9.791,2.775,0,0.168,-7.483e-6,0.781,-4.451e-5,0,0,0,0,3.259e-5,84.997,2.89e-6,1.61,5.071,842.77,334.372,0.023,0.123
0.351,6.278,37.077,112.273,37.223,112.758,1.807,1.846e-6,1.807,5.854e-5,3.289,10.444,33,-107,9.791,2.579,0,0.348,-4.158e-5,0.738,5.227e-5,0,0,0,0,1.132e-4,84.988,8.765e-6,1.652,5.063,842.65,334.367,0.034,0.125
0.401,8.273,42.745,113.543,42.915,114.035,2.39,5.679e-6,2.39,1.361e-4,3.817,10.583,33,-107,9.791,2.171,0,0.659,-1.694e-4,0.639,4.491e-4,0,0,0,0,3.053e-4,84.963,3.403e-5,1.589,5.05,842.448,334.359,0.05,0.126
0.451,10.554,48.48,114.852,48.675,115.354,3.06,1.201e-5,3.06,2.248e-4,4.352,10.757,33,-107,9.791,1.897,0,1.016,-2.757e-4,0.571,1.967e-4,0,0,0,0,5.657e-4,84.922,1.073e-4,1.579,5.035,842.217,334.35,0.05,0.128
0.501,13.123,54.279,116.131,54.5,116.648,3.819,2.128e-5,3.819,3.193e-4,4.897,10.971,33,-107,9.791,1.683,0,1.425,-4.2e-4,0.516,-1.156e-4,0,0,0,0,8.883e-4,84.861,2.586e-4,1.596,5.019,841.957,334.34,0.05,0.13
0.551,15.983,60.143,117.402,60.389,117.939,4.668,3.408e-5,4.668,4.184e-4,5.455,11.239,33,-107,9.791,1.496,4.555e-7,1.885,9.55e-5,0.467,2.132e-4,0,0,0,0,0.001,84.778,4.091e-4,1.629,5,841.667,334.329,0.05,0.134
0.601,19.138,66.069,118.665,66.343,119.227,5.609,5.107e-5,5.609,5.216e-4,6.027,11.562,33,-107,9.791,1.351,3.088e-7,2.397,-1.358e-4,0.428,2.552e-4,0,0,0,0,0.002,84.671,6.128e-4,1.711,4.98,841.348,334.316,0.05,0.136
0.651,22.591,72.059,119.915,72.362,120.511,6.646,7.294e-5,6.646,6.288e-4,6.617,11.975,33,-107,9.791,1.161,-4.075e-7,2.948,-2.372e-4,0.375,1.424e-4,0,0,0,0,0.002,84.538,7.726e-4,1.75,4.957,840.998,334.303,0.05,0.137
0.701,26.346,78.11,121.148,78.444,121.793,7.782,1.004e-4,7.782,7.391e-4,7.232,12.523,33,-107,9.791,0.855,-6.27e-7,3.478,-9.01e-4,0.281,1.694e-4,0,0,0,0,0.003,84.377,0.001,1.637,4.933,840.618,334.288,0.05,0.139
0.751,30.404,84.223,122.37,84.591,123.069,9.02,1.344e-4,9.02,8.537e-4,7.874,13.101,33,-107,9.791,0.687,0,3.964,-6.914e-4,0.229,-4.498e-4,0,0,0,0,0.003,84.191,0.001,1.715,4.906,840.208,334.272,0.05,0.141
0.801,34.769,90.397,123.576,90.8,124.34,10.367,1.763e-4,10.367,9.742e-4,8.548,13.766,33,-107,9.791,0.507,-3.014e-6,4.407,-0.002,0.172,3.168e-4,0,0,0,0,0.003,83.981,0.002,1.792,4.878,839.766,334.255,0.05,0.142
0.851,39.445,96.631,124.763,97.073,125.606,11.827,2.271e-4,11.827,0.001,9.258,14.529,33,-107,9.791,0.298,0,4.751,-0.002,0.101,9.811e-5,0,0,0,0,0.003,83.752,0.002,1.829,4.848,839.293,334.236,0.05,0.144
0.901,44.434,102.924,125.933,103.409,126.866,13.407,2.888e-4,13.407,0.001,10.008,15.356,33,-107,9.791,0.1,-3.798e-6,4.945,-0.004,0.033,-2.325e-4,0,0,0,0,0.003,83.509,0.003,1.883,4.815,838.788,334.217,0.05,0.145
0.951,49.739,109.283,127.276,109.816,128.315,15.113,3.633e-4,15.113,0.001,10.802,16.294,33,-107,9.791,0.142,1.668e-6,-4.905,-0.003,0.054,1.965e-4,0,0,0,0,-0.003,83.262,0.003,1.832,4.781,838.251,334.196,0.05,0.147
1.001,55.364,115.725,128.911,116.31,130.07,16.954,4.524e-4,16.954,0.002,11.648,17.323,33,-107,9.791,0.399,-4.773e-6,-4.524,0.002,0.146,-3.96e-4,0,0,0,0,-0.002,83.025,0.003,1.691,4.744,837.681,334.174,0.05,0.15
1.051,61.313,122.25,130.555,122.891,131.824,18.937,5.581e-4,18.937,0.002,12.542,18.245,33,-107,9.791,0.545,-1.041e-6,-3.796,8.619e-4,0.2,2.389e-4,0,0,0,0,-0.001,82.816,0.004,1.684,4.705,837.079,334.15,0.05,0.151
1.101,67.59,128.827,131.616,129.53,132.976,21.071,6.827e-4,21.071,0.002,13.476,18.971,33,-107,9.791,0.639,1.939e-6,-2.773,6.911e-4,0.236,3.838e-4,0,0,0,0,-5.971e-4,82.651,0.004,1.677,4.665,836.444,334.126,0.05,0.152
1.151,74.196,135.405,131.645,136.172,133.053,23.36,8.293e-4,23.36,0.002,14.434,19.305,33,-107,9.791,0.621,-4.216e-7,-1.558,6.075e-4,0.232,-8.087e-5,0,0,0,0,-1.705e-4,82.543,0.005,1.798,4.622,835.775,334.1,0.05,0.153
1.201,81.131,141.983,131.657,142.816,133.093,25.807,1e-3,25.807,0.002,15.405,19.498,33,-107,9.791,0.618,4.578e-7,-0.211,-1.011e-4,0.233,-6.488e-5,0,0,0,0,-2.844e-6,82.498,0.005,1.733,4.577,835.073,334.072,0.05,0.155
1.251,88.394,148.557,131.571,149.456,132.978,28.414,0.001,28.414,0.002,16.375,19.293,33,-107,9.791,0.479,-1.691e-6,1.107,-0.002,0.184,1.302e-4,0,0,0,0,7.146e-5,82.522,0.005,1.864,4.529,834.338,334.044,0.05,0.156
1.301,95.986,155.116,131.28,156.08,132.632,31.178,0.001,31.178,0.003,17.329,18.889,33,-107,9.791,0.35,4.584e-6,2.224,0.002,0.137,-1.585e-5,0,0,0,0,2.646e-4,82.607,0.006,1.835,4.48,833.57,334.014,0.05,0.157
1.351,103.905,161.66,130.992,162.687,132.262,34.098,0.002,34.098,0.003,18.257,18.286,33,-107,9.791,0.199,-7.322e-6,3.042,-6.018e-5,0.079,-5.535e-5,0,0,0,0,4.555e-4,82.741,0.005,1.768,4.429,832.768,333.983,0.05,0.158
1.401,112.152,168.19,130.709,169.276,131.872,37.166,0.002,37.166,0.003,19.149,17.469,33,-107,9.791,0.003,-7.823e-7,-3.358,-0.007,0.002,1.144e-4,0,0,0,0,-5.129e-4,82.904,0.005,1.806,4.375,831.934,333.95,0.05,0.159
1.451,120.724,174.705,130.409,175.846,131.461,40.378,0.002,40.378,0.003,19.999,16.603,33,-107,9.791,0.199,4.461e-6,-2.971,-0.003,0.081,1.781e-4,0,0,0,0,-3.721e-4,83.065,0.005,1.876,4.319,831.066,333.916,0.05,0.16
1.501,129.622,181.205,130.075,182.395,131.032,43.725,0.003,43.725,0.003,20.806,15.81,33,-107,9.791,0.371,-3.996e-7,-1.8,0.002,0.153,-4.42e-4,0,0,0,0,-1.269e-4,83.187,0.005,2.046,4.261,830.165,333.881,0.05,0.162
1.551,138.844,187.686,129.664,188.923,130.59,47.202,0.003,47.202,0.004,21.585,15.525,33,-107,9.791,0.387,3.093e-6,-0.138,-0.001,0.162,3.386e-5,0,0,0,0,-6.975e-7,83.235,0.005,1.97,4.201,829.232,333.845,0.05,0.164
1.601,148.389,194.138,129.039,195.421,129.978,50.806,0.003,50.806,0.004,22.359,15.595,33,-107,9.791,0.341,5.061e-6,1.604,3.35e-4,0.146,3.194e-4,0,0,0,0,8.777e-5,83.197,0.005,1.977,4.139,828.266,333.807,0.05,0.166
1.651,158.256,200.53,127.795,201.861,128.798,54.538,0.004,54.538,0.004,23.145,16.042,33,-107,9.791,0.215,-1.29e-5,3.045,-0.004,0.094,3.297e-4,0,0,0,0,2.966e-4,83.077,0.006,1.967,4.075,827.267,333.768,0.05,0.167
1.701,168.441,206.855,126.439,208.238,127.541,58.401,0.004,58.401,0.004,23.96,16.726,33,-107,9.79,0.067,1.54e-5,3.843,-0.012,0.029,1.307e-4,0,0,0,0,4.438e-4,82.9,0.007,2.044,4.009,826.236,333.728,0.05,0.169
1.751,178.94,213.111,125.041,214.55,126.262,62.401,0.005,62.401,0.004,24.813,17.518,33,-107,9.79,0.087,-3.62e-6,-3.757,-0.007,0.039,-1.927e-4,0,0,0,0,-3.997e-4,82.705,0.009,2.124,3.941,825.174,333.687,0.05,0.171
1.801,189.75,219.296,123.62,220.797,124.962,66.544,0.005,66.544,0.004,25.706,18.265,33,-107,9.79,0.232,9.718e-6,-2.661,-0.008,0.106,-2.608e-4,0,0,0,0,-1.893e-4,82.541,0.01,2.082,3.871,824.079,333.644,0.05,0.172
1.851,200.868,225.41,122.238,226.977,123.633,70.836,0.006,70.836,0.005,26.625,18.518,33,-107,9.79,0.277,4.855e-6,-0.809,-0.007,0.128,2.278e-5,0,0,0,0,-1.658e-5,82.454,0.01,2.113,3.798,822.954,333.601,0.05,0.173
1.901,212.29,231.457,120.9,233.09,122.275,75.279,0.006,75.279,0.005,27.544,18.282,33,-107,9.79,0.254,4.972e-7,1.257,-0.002,0.12,2.674e-5,0,0,0,0,3.79e-5,82.468,0.009,2.004,3.724,821.798,333.556,0.05,0.174
1.951,224.012,237.438,119.615,239.135,120.885,79.871,0.007,79.871,0.005,28.437,17.479,33,-107,9.79,0.152,-4.338e-7,2.96,0.008,0.073,3.202e-4,0,0,0,0,1.998e-4,82.58,0.008,1.845,3.648,820.612,333.509,0.05,0.175
2.001,236.032,243.356,118.369,245.111,119.463,84.605,0.008,84.605,0.005,29.273,16.126,33,-107,9.79,0.035,5.388e-6,-3.447,0.002,0.018,4.616e-4,0,0,0,0,-2.579e-4,82.75,0.009,1.865,3.57,819.395,333.462,0.05,0.178
2.051,248.346,249.211,117.067,251.015,118.021,89.471,0.008,89.471,0.005,30.043,14.974,33,-107,9.79,0.168,-7.279e-7,-2.438,0.006,0.084,3.864e-4,0,0,0,0,-1.23e-4,82.904,0.009,1.755,3.49,818.149,333.414,0.05,0.179
2.101,260.951,254.999,115.681,256.848,116.555,94.459,0.009,94.459,0.006,30.764,14.248,33,-107,9.79,0.238,5.682e-6,-0.295,-0.009,0.119,3.819e-4,0,0,0,0,-1.717e-6,82.974,0.008,1.772,3.408,816.873,333.364,0.05,0.181
2.151,273.844,260.714,114.166,262.606,115.065,99.563,0.01,99.563,0.006,31.469,14.353,33,-107,9.79,0.191,-1.211e-6,2.081,0.011,0.098,-1.119e-4,0,0,0,0,8.194e-5,82.923,0.008,1.794,3.324,815.568,333.313,0.05,0.183
2.201,287.021,266.352,112.555,268.291,113.586,104.785,0.011,104.785,0.006,32.204,15.267,33,-107,9.79,0.037,3.135e-5,3.392,0.014,0.019,-3.887e-4,0,0,0,0,2.085e-4,82.773,0.006,1.726,3.238,814.234,333.261,0.05,0.185
2.251,300.478,271.915,111.068,273.909,112.241,110.131,0.012,110.131,0.006,32.99,16.182,33,-107,9.79,0.092,-2.928e-6,-3.024,0.018,0.049,-3.09e-4,0,0,0,0,-1.59e-4,82.603,0.005,1.833,3.151,812.872,333.208,0.05,0.187
2.301,314.211,277.405,109.596,279.459,110.876,115.61,0.013,115.61,0.006,33.818,16.8,33,-107,9.79,0.184,-5.212e-6,-1.09,0.02,0.099,-9.36e-5,0,0,0,0,-1.986e-5,82.494,0.006,1.778,3.062,811.482,333.154,0.05,0.188
2.351,328.216,282.823,108.216,284.938,109.456,121.226,0.014,121.226,0.006,34.652,16.431,33,-107,9.79,0.149,4.071e-6,1.295,0.005,0.082,1.614e-4,0,0,0,0,2.695e-5,82.506,0.009,1.783,2.97,810.064,333.099,0.05,0.189
2.401,342.491,288.175,106.889,290.346,107.982,126.977,0.015,126.977,0.007,35.445,15.326,33,-107,9.79,0.036,1.213e-5,2.687,-0.01,0.02,-2.63e-4,0,0,0,0,1.117e-4,82.619,0.01,1.711,2.878,808.62,333.043,0.05,0.19
2.451,357.032,293.46,105.541,295.68,106.45,132.851,0.016,132.851,0.007,36.168,13.883,33,-107,9.79,0.111,-9.784e-7,-1.992,0.008,0.063,4.868e-5,0,0,0,0,-5.921e-5,82.751,0.008,1.797,2.783,807.148,332.986,0.05,0.192
2.501,371.836,298.692,104.472,300.954,105.3,138.839,0.017,138.839,0.007,36.832,13.179,33,-107,9.79,0.173,1.993e-6,0.52,-0.005,0.1,-1.028e-4,0,0,0,0,3.896e-6,82.792,0.008,1.929,2.687,805.649,332.927,0.05,0.193
2.551,386.902,303.925,104.501,306.23,105.436,144.936,0.018,144.936,0.007,37.505,14.016,33,-107,9.79,0.08,1.589e-5,2.773,-0.019,0.047,4.512e-4,0,0,0,0,1.07e-4,82.694,0.01,1.905,2.589,804.125,332.868,0.05,0.195
2.601,402.229,309.16,104.516,311.517,105.65,151.148,0.019,151.148,0.007,38.245,15.437,33,-107,9.79,0.065,-4.309e-6,-2.859,-0.013,0.039,4.497e-4,0,0,0,0,-1.099e-4,82.532,0.013,1.875,2.489,802.573,332.807,0.05,0.197
2.651,417.818,314.397,104.602,316.812,105.852,157.487,0.02,157.487,0.007,39.048,16.219,33,-106.999,9.79,0.132,0,-0.793,-0.012,0.081,3.631e-4,0,0,0,0,-8.181e-6,82.432,0.012,1.912,2.388,800.995,332.746,0.05,0.199
2.701,433.669,319.641,104.831,322.117,106.03,163.96,0.021,163.96,0.007,39.863,15.904,33,-106.999,9.79,0.093,5.073e-7,1.702,-0.004,0.058,-4.99e-4,0,0,0,0,3.643e-5,82.465,0.01,1.844,2.285,799.391,332.684,0.05,0.201
2.751,449.777,324.691,100.955,327.219,101.917,170.56,0.022,170.56,0.008,40.597,13.976,33,-106.999,9.79,0.047,-1.332e-5,-2.074,0.011,0.03,3.041e-4,0,0,0,0,-5.242e-5,82.584,0.01,1.989,2.18,797.761,332.62,0.05,0.203
2.801,466.085,327.636,58.835,330.191,59.341,177.252,0.024,177.252,0.008,40.991,7.729,33,-106.999,9.79,0.122,-2.591e-6,0.023,0.009,0.077,3.1e-4,0,0,0,0,6.237e-9,82.649,0.009,2.08,2.074,796.11,332.556,0.05,0.205
2.851,482.483,328.253,12.269,330.814,12.476,183.984,0.025,183.984,0.008,41.082,2.261,33,-106.999,9.79,0.063,1.816e-5,2.238,-0.012,0.041,-4.698e-4,0,0,0,0,5.97e-5,82.578,0.009,2.082,1.968,794.475,332.491,0.05,0.207
2.901,498.885,327.843,-8.214,330.408,8.231,190.722,0.026,190.722,0.008,41.085,0.533,33,-106.999,9.789,0.04,-1.245e-5,-2.511,0.019,0.026,2.269e-4,0,0,0,0,-7.536e-5,82.436,0.01,2.171,1.861,792.896,332.427,0.05,0.208
2.951,515.249,326.715,-22.499,329.283,22.512,197.458,0.028,197.458,0.008,41.04,0.778,33,-106.999,9.789,0.107,-3.787e-6,-0.664,0.017,0.068,3.276e-4,0,0,0,0,-5.298e-6,82.345,0.013,2.168,1.755,791.321,332.362,0.05,0.209
# Event BURNOUT occurred at t=2.99 seconds
# Event EJECTION_CHARGE occurred at t=2.99 seconds
2.99,527.887,325.592,-28.871,328.16,28.929,202.672,0.029,202.672,0.008,40.977,1.845,33,-106.999,9.789,0.085,8.803e-6,1.096,0.016,0.054,-3.405e-5,0,0,0,0,1.455e-5,82.357,0.015,2.213,1.673,790.104,332.313,0.039,0.211
3.04,544.128,324.046,-30.762,326.611,30.893,209.384,0.03,209.384,0.008,40.852,2.839,33,-106.999,9.789,0.002,1.002e-5,-1.825,-0.019,0.002,-1.123e-4,0,0,0,0,-4.073e-5,82.448,0.014,2.139,1.567,788.541,332.249,0.05,0.218
3.09,560.292,322.516,-30.448,325.073,30.657,216.072,0.032,216.072,0.008,40.687,3.579,33,-106.999,9.789,0.095,-3.286e-7,-0.754,0.008,0.06,-2.912e-4,0,0,0,0,-7.019e-6,82.529,0.011,2.22,1.462,786.985,332.185,0.05,0.219
3.14,576.38,321,-30.26,323.545,30.445,222.732,0.033,222.732,0.009,40.505,3.351,33,-106.999,9.789,0.072,-2.114e-6,1.255,-0.002,0.045,2.65e-4,0,0,0,0,1.964e-5,82.511,0.009,2.151,1.357,785.437,332.122,0.05,0.221
3.19,592.392,319.49,-30.129,322.028,30.251,229.363,0.035,229.363,0.009,40.353,2.72,33,-106.999,9.789,0.003,-5.814e-7,-1.951,0.143,0.002,-4.592e-4,0,0,0,0,-4.787e-5,82.414,0.01,2.16,1.253,783.896,332.058,0.05,0.223
3.24,608.329,317.987,-29.976,320.522,30.065,235.972,0.036,235.972,0.009,40.231,2.308,33,-106.999,9.789,0.054,8.471e-6,-1.328,-0.005,0.033,-8.401e-5,0,0,0,0,-2.24e-5,82.321,0.014,2.299,1.15,782.362,331.996,0.05,0.224
3.29,624.191,316.492,-29.793,319.026,29.868,242.563,0.038,242.563,0.009,40.125,2.118,33,-106.999,9.789,0.076,1.975e-6,0.043,-0.008,0.047,-2.815e-4,0,0,0,0,2.416e-8,82.289,0.015,2.265,1.047,780.835,331.933,0.05,0.226
3.34,639.979,315.008,-29.54,317.54,29.642,249.137,0.04,249.137,0.009,40.014,2.461,33,-106.999,9.789,0.029,-6.04e-6,1.227,0.008,0.018,3.21e-4,0,0,0,0,1.948e-5,82.331,0.013,2.231,0.944,779.315,331.871,0.05,0.228
3.39,655.692,313.539,-29.26,316.064,29.418,255.69,0.041,255.69,0.009,39.875,3.039,33,-106.999,9.789,0.05,-5.785e-6,-0.982,0.007,0.031,2.704e-4,0,0,0,0,-1.259e-5,82.4,0.012,2.275,0.842,777.803,331.809,0.05,0.231
3.44,671.333,312.082,-29.028,314.599,29.214,262.217,0.043,262.217,0.009,39.711,3.288,33,-106.999,9.789,0.086,4.375e-6,0.449,-0.006,0.053,1.878e-4,0,0,0,0,2.651e-6,82.417,0.014,2.359,0.74,776.297,331.747,0.05,0.234
3.49,686.901,310.635,-28.885,313.143,29.028,268.718,0.044,268.718,0.009,39.553,2.872,33,-106.999,9.789,0.034,5.054e-6,1.737,-0.033,0.022,4.282e-4,0,0,0,0,4.011e-5,82.353,0.016,2.352,0.639,774.799,331.686,0.05,0.235
3.54,702.396,309.193,-28.776,311.697,28.862,275.196,0.046,275.196,0.01,39.427,2.226,33,-106.999,9.789,0.05,1.983e-6,-1.552,-0.024,0.031,-2.633e-4,0,0,0,0,-3.233e-5,82.258,0.017,2.296,0.538,773.307,331.625,0.05,0.237
3.59,717.82,307.757,-28.631,310.26,28.692,281.656,0.048,281.656,0.01,39.33,1.865,33,-106.999,9.789,0.097,-1.388e-6,-0.059,-0.006,0.06,3.913e-4,0,0,0,0,-4.778e-8,82.213,0.016,2.178,0.438,771.823,331.564,0.05,0.239
3.64,733.172,306.331,-28.387,308.833,28.476,288.1,0.05,288.1,0.01,39.232,2.256,33,-106.999,9.789,0.041,-1.21e-5,1.344,-3.056e-4,0.025,-4.313e-4,0,0,0,0,2.469e-5,82.255,0.014,2.198,0.338,770.345,331.504,0.05,0.24
3.69,748.453,304.919,-28.122,307.416,28.263,294.525,0.051,294.525,0.01,39.103,2.819,33,-106.999,9.789,0.042,-2.057e-6,-1.283,-0.009,0.025,-7.695e-5,0,0,0,0,-2.273e-5,82.334,0.014,2.2,0.239,768.874,331.444,0.05,0.242
3.74,763.664,303.518,-27.912,306.008,28.072,300.927,0.053,300.927,0.01,38.954,2.987,33,-106.999,9.789,0.07,2.343e-6,-0.191,-0.018,0.043,-3.853e-4,0,0,0,0,-5.066e-7,82.375,0.016,2.096,0.14,767.41,331.384,0.05,0.243
3.79,778.805,302.127,-27.75,304.609,27.893,307.305,0.055,307.305,0.01,38.806,2.821,33,-106.999,9.789,0.051,-4.838e-6,0.924,-0.011,0.031,2.783e-4,0,0,0,0,1.201e-5,82.351,0.019,2.054,0.042,765.953,331.324,0.05,0.246
