# 15mph_URRG (Up to date)
# 656 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (41.2 m/s)
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
53.739,165.326,15.189,0.571,NaN,NaN,NaN,12.162,962.044
53.759,165.03,14.276,0.429,NaN,NaN,NaN,12.164,962.076
53.78,164.711,13.369,0.502,NaN,NaN,NaN,12.166,962.111
53.803,164.393,12.464,0.89,NaN,NaN,NaN,12.168,962.148
53.828,164.039,11.626,1.154,NaN,NaN,NaN,12.17,962.186
53.853,163.706,10.719,0.638,NaN,NaN,NaN,12.172,962.227
53.88,163.336,9.943,0.218,NaN,NaN,NaN,12.174,962.266
53.915,162.883,9.152,0.108,NaN,NaN,NaN,12.177,962.31
53.952,162.404,8.261,0.128,NaN,NaN,NaN,12.18,962.363
53.992,161.902,7.417,0.527,NaN,NaN,NaN,12.183,962.419
54.035,161.382,6.644,1.065,NaN,NaN,NaN,12.186,962.478
54.077,160.884,5.871,0.395,NaN,NaN,NaN,12.19,962.539
54.136,160.186,5.239,0.104,NaN,NaN,NaN,12.193,962.597
54.21,159.348,4.453,0.092,NaN,NaN,NaN,12.197,962.679
54.302,158.341,3.65,0.002,NaN,NaN,NaN,12.203,962.777
54.407,157.215,2.866,0.377,NaN,NaN,NaN,12.209,962.896
54.55,155.729,2.185,0.656,NaN,NaN,NaN,12.217,963.028
54.714,154.067,1.471,0.158,NaN,NaN,NaN,12.226,963.202
54.976,151.49,0.947,0.19,NaN,NaN,NaN,12.237,963.397
55.39,147.49,0.424,0.162,NaN,NaN,NaN,12.254,963.699
55.89,142.717,0.088,0.729,NaN,NaN,NaN,12.28,964.168
56.298,138.831,-0.012,0.492,NaN,NaN,NaN,12.311,964.728
56.704,134.972,0.1,1.491,NaN,NaN,NaN,12.336,965.184
57.102,131.183,-0.078,0.489,NaN,NaN,NaN,12.361,965.636
57.602,126.42,-0.022,0.076,NaN,NaN,NaN,12.386,966.081
58.102,121.657,0.013,0.404,NaN,NaN,NaN,12.417,966.639
58.602,116.896,0.013,0.571,NaN,NaN,NaN,12.448,967.198
59.102,112.142,0.033,0.945,NaN,NaN,NaN,12.479,967.756
59.602,107.389,-0.017,0.691,NaN,NaN,NaN,12.51,968.314
60.102,102.638,0.031,1,NaN,NaN,NaN,12.54,968.871
60.394,99.87,-0.021,0.714,NaN,NaN,NaN,12.571,969.429
60.894,95.118,-0.013,0.609,NaN,NaN,NaN,12.589,969.753
61.394,90.363,-0.014,0.09,NaN,NaN,NaN,12.62,970.31
61.894,85.607,0.007,0.215,NaN,NaN,NaN,12.651,970.868
62.394,80.852,0.004,0.223,NaN,NaN,NaN,12.682,971.426
62.894,76.105,0.055,1.029,NaN,NaN,NaN,12.713,971.984
63.127,73.892,0.012,1.112,NaN,NaN,NaN,12.744,972.54
63.627,69.158,0.036,1.338,NaN,NaN,NaN,12.758,972.8
64.03,65.34,-0.086,0.103,NaN,NaN,NaN,12.789,973.355
64.53,60.593,-3.676e-4,0.47,NaN,NaN,NaN,12.814,973.803
65.03,55.846,-0.003,0.253,NaN,NaN,NaN,12.845,974.36
65.53,51.099,0.015,0.514,NaN,NaN,NaN,12.876,974.916
66.03,46.354,-0.009,0.087,NaN,NaN,NaN,12.906,975.473
66.53,41.61,0.021,0.573,NaN,NaN,NaN,12.937,976.03
66.888,38.218,0.021,0.824,NaN,NaN,NaN,12.968,976.586
67.388,33.483,0.023,0.977,NaN,NaN,NaN,12.99,976.984
67.888,28.746,-0.043,0.186,NaN,NaN,NaN,13.021,977.539
68.388,24.009,0.045,0.901,NaN,NaN,NaN,13.052,978.095
68.694,21.116,-0.01,0.733,NaN,NaN,NaN,13.082,978.65
69.194,16.38,-0.021,0.374,NaN,NaN,NaN,13.101,978.99
69.694,11.642,-0.002,0.087,NaN,NaN,NaN,13.132,979.545
70.194,6.907,0.026,0.659,NaN,NaN,NaN,13.163,980.101
70.671,2.391,-0.011,0.388,NaN,NaN,NaN,13.194,980.656
# Event GROUND_HIT occurred at t=70.923 seconds
# Event SIMULATION_END occurred at t=70.923 seconds
70.923,0,-0.004,0.003,NaN,NaN,NaN,13.223,981.186
